GameName,TotalPlaytime
F.E.A.R. 2: Project Origin,1.03
STAR WARS� Republic Commando,3.07
Fallout 3 - Game of the Year Edition,1.23
Metro 2033,3.05
F.E.A.R.,12.25
Sid Meier's Civilization V,40.08
Darksiders,23.23
Darksiders Warmastered Edition,0.03
Call of Duty: Black Ops,10.55
Call of Duty: Black Ops - Multiplayer,0.53
Grand Theft Auto: San Andreas,4.3
Sonic Adventure DX,2.57
The Witcher 2: Assassins of Kings Enhanced Edition,2.58
PAYDAY: The Heist,1.43
L.A. Noire,43.23
The Elder Scrolls V: Skyrim,36.35
Fallout: New Vegas,99.05
ORION: Prelude,0.45
Dead Island,19.48
Batman: Arkham City GOTY,18.88
Dishonored,25.35
Antichamber,1.3
Warframe,4.82
The Forest,2.62
FATE,1.1
PAYDAY 2,26.5
Slender: The Arrival,1.95
Assassin's Creed IV Black Flag,31.47
The Stanley Parable,7.63
Cuphead,22.98
Left 4 Dead 2,41.97
BioShock,10.17
BioShock 2,10.53
BioShock Infinite,11.12
Grand Theft Auto V,205.65
Enemy Mind,1.83
Unturned,0.77
Saints Row IV,10.87
Five Nights at Freddy's,8.72
Ultra Street Fighter IV,8.02
Middle-earth�: Shadow of Mordor�,0.12
Outlast,7.87
Borderlands: The Pre-Sequel,1.5
DARK SOULS�: Prepare To Die Edition,0.15
Five Nights at Freddy's 2,3.57
Five Nights at Freddy's 3,5.52
Fallout 4,147.87
Borderlands GOTY,0.75
Borderlands GOTY Enhanced,0.03
Borderlands 2,60.57
Batman: Arkham Asylum GOTY Edition,17.73
Batman�: Arkham Knight,32.9
Batman�: Arkham Origins,3.13
Five Nights at Freddy's 4,4.55
Turok,4.03
Wallpaper Engine,1.75
Jet Set Radio,0.88
Tom Clancy's The Division,16.72
No Man's Sky,6.25
LIMBO,1.73
Five Nights at Freddy's: Sister Location,8.55
Dying Light,13.6
FIVE NIGHTS AT FREDDY'S: HELP WANTED,13.25
Freddy Fazbear's Pizzeria Simulator,4.25
Five Nights at Freddy's: Security Breach,17.02
DC Universe Online,17.7
The Dark Pictures Anthology: Man of Medan,4.8
Halo: The Master Chief Collection,12.18
Destiny 2,2.33
Sea of Thieves,2.48
The Dark Pictures Anthology: Little Hope,5.8
The Dark Pictures Anthology: House of Ashes,6.72
STAR WARS�: The Old Republic�,68.92
The Mortuary Assistant,2.53
Fallout 76,9.3
Old School RuneScape,0.83
Happy's Humble Burger Farm,2.33
The Dark Pictures Anthology: The Devil in Me,7.58
The Stanley Parable: Ultra Deluxe,2.55
Born Into Fear,2.97
Halo Infinite,46.82
ELDEN RING,86.5
Poppy Playtime,6.4
